20210606 18:05:47
Origin HIRO AntMaze Exp
/media/lsf/5061349a-a747-49ba-b5f5-c1a943b93242/anaconda3/envs/safe-mujoco/lib/python3.7/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Epoch: 10 Reward: -6152.405 Time consuming: 20
Epoch: 20 Reward: -5558.266 Time consuming: 38
Epoch: 30 Reward: -9578.342 Time consuming: 38
Epoch: 40 Reward: -10400.850 Time consuming: 38
Epoch: 50 Reward: -4344.882 Time consuming: 38
Epoch: 60 Reward: -4027.853 Time consuming: 38
Epoch: 70 Reward: -8795.959 Time consuming: 38
Epoch: 80 Reward: -4326.265 Time consuming: 38
Epoch: 90 Reward: -7584.463 Time consuming: 37
Epoch: 100 Reward: -6840.209 Time consuming: 38
Epoch: 110 Reward: -9491.190 Time consuming: 38
Epoch: 120 Reward: -7105.329 Time consuming: 38
Epoch: 130 Reward: -9410.339 Time consuming: 38
Epoch: 140 Reward: -8387.744 Time consuming: 38
Epoch: 150 Reward: -2114.171 Time consuming: 37
Epoch: 160 Reward: -2942.489 Time consuming: 37
Epoch: 170 Reward: -9635.570 Time consuming: 38
Epoch: 180 Reward: -2412.731 Time consuming: 37
Epoch: 190 Reward: -6912.884 Time consuming: 37
Epoch: 200 Reward: -11762.891 Time consuming: 38
Epoch: 210 Reward: -8972.701 Time consuming: 38
Epoch: 220 Reward: -1055.055 Time consuming: 37
Epoch: 230 Reward: -8534.522 Time consuming: 38
Epoch: 240 Reward: -9452.315 Time consuming: 38
Epoch: 250 Reward: -13416.296 Time consuming: 38
Goal, Curr: (0.00, 16.00, -0.07, -0.22)     Error:16.22
Goal, Curr: (0.00, 16.00, 0.03, 0.01)     Error:15.99
Goal, Curr: (0.00, 16.00, 0.63, -0.49)     Error:16.50
Goal, Curr: (0.00, 16.00, 0.15, -0.07)     Error:16.07
Goal, Curr: (0.00, 16.00, 0.17, 0.12)     Error:15.88
Goal, Curr: (0.00, 16.00, 0.27, -0.14)     Error:16.15
Goal, Curr: (0.00, 16.00, 0.25, -0.38)     Error:16.39
Goal, Curr: (0.00, 16.00, 0.19, -0.11)     Error:16.11
Goal, Curr: (0.00, 16.00, -0.06, 0.35)     Error:15.65
Goal, Curr: (0.00, 16.00, 0.35, 0.04)     Error:15.96
episode:00250, mean:-7973.48, std:92.03, median:-7985.77, success:0.00
Epoch: 260 Reward: -10078.222 Time consuming: 43
Epoch: 270 Reward: -9638.017 Time consuming: 37
Epoch: 280 Reward: -13700.616 Time consuming: 38
Epoch: 290 Reward: -6049.776 Time consuming: 37
Epoch: 300 Reward: -13149.495 Time consuming: 38
Epoch: 310 Reward: -3003.875 Time consuming: 38
Epoch: 320 Reward: -2643.176 Time consuming: 37
Epoch: 330 Reward: -5063.907 Time consuming: 38
Epoch: 340 Reward: -6193.606 Time consuming: 38
Epoch: 350 Reward: -6731.646 Time consuming: 38
Epoch: 360 Reward: -11491.841 Time consuming: 38
Epoch: 370 Reward: -5052.550 Time consuming: 37
Epoch: 380 Reward: -9269.574 Time consuming: 38
Epoch: 390 Reward: -1509.500 Time consuming: 38
Epoch: 400 Reward: -4879.759 Time consuming: 38
Epoch: 410 Reward: -5541.145 Time consuming: 38
Epoch: 420 Reward: -6170.468 Time consuming: 38
Epoch: 430 Reward: -1649.359 Time consuming: 37
Epoch: 440 Reward: -12416.384 Time consuming: 38
Epoch: 450 Reward: -4160.638 Time consuming: 38
Epoch: 460 Reward: -1727.323 Time consuming: 38
Epoch: 470 Reward: -10703.363 Time consuming: 38
Epoch: 480 Reward: -8003.433 Time consuming: 37
Epoch: 490 Reward: -7147.713 Time consuming: 37
Epoch: 500 Reward: -7985.076 Time consuming: 38
Goal, Curr: (0.00, 16.00, -0.20, -0.47)     Error:16.47
Goal, Curr: (0.00, 16.00, -0.37, -0.40)     Error:16.40
Goal, Curr: (0.00, 16.00, -0.35, -0.02)     Error:16.03
Goal, Curr: (0.00, 16.00, -0.40, -0.37)     Error:16.38
Goal, Curr: (0.00, 16.00, -0.21, -0.13)     Error:16.13
Goal, Curr: (0.00, 16.00, -0.26, -0.25)     Error:16.26
Goal, Curr: (0.00, 16.00, -0.46, -0.22)     Error:16.23
Goal, Curr: (0.00, 16.00, -0.27, -0.21)     Error:16.21
Goal, Curr: (0.00, 16.00, -0.16, -0.36)     Error:16.36
Goal, Curr: (0.00, 16.00, -0.06, -0.28)     Error:16.28
episode:00500, mean:-8085.14, std:60.11, median:-8079.60, success:0.00
Epoch: 510 Reward: -1366.949 Time consuming: 44
Epoch: 520 Reward: -4996.464 Time consuming: 37
Epoch: 530 Reward: -8715.218 Time consuming: 38
Epoch: 540 Reward: -10054.021 Time consuming: 38
Epoch: 550 Reward: -5315.339 Time consuming: 38
Epoch: 560 Reward: -8103.300 Time consuming: 37
Epoch: 570 Reward: -2672.285 Time consuming: 38
Epoch: 580 Reward: -5112.677 Time consuming: 38
Epoch: 590 Reward: -2644.480 Time consuming: 38
Epoch: 600 Reward: -6538.162 Time consuming: 38
Epoch: 610 Reward: -4040.642 Time consuming: 38
Epoch: 620 Reward: -5194.754 Time consuming: 38
Epoch: 630 Reward: -11936.457 Time consuming: 37
Epoch: 640 Reward: -5408.643 Time consuming: 37
Epoch: 650 Reward: -4921.646 Time consuming: 38
Epoch: 660 Reward: -1795.961 Time consuming: 38
Epoch: 670 Reward: -11229.862 Time consuming: 38
Epoch: 680 Reward: -2429.717 Time consuming: 37
Epoch: 690 Reward: -9275.621 Time consuming: 38
Epoch: 700 Reward: -5518.452 Time consuming: 38
Epoch: 710 Reward: -11316.199 Time consuming: 37
