20210606 18:05:47
Origin HIRO AntPush Exp
/media/lsf/5061349a-a747-49ba-b5f5-c1a943b93242/anaconda3/envs/safe-mujoco/lib/python3.7/site-packages/gym/logger.py:30: UserWarning: [33mWARN: Box bound precision lowered by casting to float32[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
Epoch: 10 Reward: -9597.444 Time consuming: 21
Epoch: 20 Reward: -9715.191 Time consuming: 38
Epoch: 30 Reward: -9413.883 Time consuming: 39
Epoch: 40 Reward: -9278.984 Time consuming: 39
Epoch: 50 Reward: -9338.221 Time consuming: 38
Epoch: 60 Reward: -9683.337 Time consuming: 38
Epoch: 70 Reward: -9519.431 Time consuming: 38
Epoch: 80 Reward: -9526.745 Time consuming: 38
Epoch: 90 Reward: -9739.315 Time consuming: 38
Epoch: 100 Reward: -9450.062 Time consuming: 39
Epoch: 110 Reward: -9495.099 Time consuming: 39
Epoch: 120 Reward: -9543.318 Time consuming: 38
Epoch: 130 Reward: -9431.303 Time consuming: 39
Epoch: 140 Reward: -9292.084 Time consuming: 38
Epoch: 150 Reward: -9209.666 Time consuming: 38
Epoch: 160 Reward: -9542.138 Time consuming: 39
Epoch: 170 Reward: -9563.661 Time consuming: 39
Epoch: 180 Reward: -9550.538 Time consuming: 39
Epoch: 190 Reward: -9353.534 Time consuming: 38
Epoch: 200 Reward: -9356.574 Time consuming: 39
Epoch: 210 Reward: -9319.486 Time consuming: 39
Epoch: 220 Reward: -9528.862 Time consuming: 39
Epoch: 230 Reward: -9488.092 Time consuming: 39
Epoch: 240 Reward: -9606.945 Time consuming: 39
Epoch: 250 Reward: -9343.524 Time consuming: 38
Goal, Curr: (0.00, 19.00, -0.15, 0.06)     Error:18.94
Goal, Curr: (0.00, 19.00, 0.19, 0.21)     Error:18.79
Goal, Curr: (0.00, 19.00, -0.02, -0.06)     Error:19.06
Goal, Curr: (0.00, 19.00, -0.05, -0.07)     Error:19.07
Goal, Curr: (0.00, 19.00, -0.10, 0.00)     Error:19.00
Goal, Curr: (0.00, 19.00, -0.08, 0.09)     Error:18.91
Goal, Curr: (0.00, 19.00, 0.16, -0.04)     Error:19.04
Goal, Curr: (0.00, 19.00, 0.33, 0.20)     Error:18.80
Goal, Curr: (0.00, 19.00, 0.13, -0.02)     Error:19.02
Goal, Curr: (0.00, 19.00, -0.12, 0.09)     Error:18.91
episode:00250, mean:-9419.55, std:55.52, median:-9429.29, success:0.00
Epoch: 260 Reward: -9482.996 Time consuming: 45
Epoch: 270 Reward: -9223.231 Time consuming: 39
Epoch: 280 Reward: -9510.083 Time consuming: 39
Epoch: 290 Reward: -9517.218 Time consuming: 39
Epoch: 300 Reward: -9477.370 Time consuming: 39
Epoch: 310 Reward: -9636.552 Time consuming: 39
Epoch: 320 Reward: -9455.934 Time consuming: 39
Epoch: 330 Reward: -9205.657 Time consuming: 39
Epoch: 340 Reward: -9487.995 Time consuming: 38
Epoch: 350 Reward: -9511.612 Time consuming: 39
Epoch: 360 Reward: -9487.523 Time consuming: 38
Epoch: 370 Reward: -9391.892 Time consuming: 39
Epoch: 380 Reward: -9201.042 Time consuming: 39
Epoch: 390 Reward: -9199.524 Time consuming: 39
Epoch: 400 Reward: -9437.657 Time consuming: 39
Epoch: 410 Reward: -9302.538 Time consuming: 39
Epoch: 420 Reward: -9596.401 Time consuming: 39
Epoch: 430 Reward: -9453.597 Time consuming: 39
Epoch: 440 Reward: -9279.924 Time consuming: 39
Epoch: 450 Reward: -9295.876 Time consuming: 38
Epoch: 460 Reward: -9374.249 Time consuming: 39
Epoch: 470 Reward: -9402.740 Time consuming: 38
Epoch: 480 Reward: -9590.277 Time consuming: 38
Epoch: 490 Reward: -9494.016 Time consuming: 39
Epoch: 500 Reward: -9372.289 Time consuming: 39
Goal, Curr: (0.00, 19.00, -0.07, 0.40)     Error:18.60
Goal, Curr: (0.00, 19.00, -0.20, 0.38)     Error:18.62
Goal, Curr: (0.00, 19.00, -0.54, 0.05)     Error:18.96
Goal, Curr: (0.00, 19.00, -0.17, 0.42)     Error:18.58
Goal, Curr: (0.00, 19.00, -0.34, 0.39)     Error:18.61
Goal, Curr: (0.00, 19.00, -0.19, 0.20)     Error:18.81
Goal, Curr: (0.00, 19.00, -0.20, -0.04)     Error:19.04
Goal, Curr: (0.00, 19.00, -0.32, 0.25)     Error:18.75
Goal, Curr: (0.00, 19.00, -0.36, -0.03)     Error:19.03
Goal, Curr: (0.00, 19.00, -0.20, 0.10)     Error:18.90
episode:00500, mean:-9449.99, std:73.25, median:-9446.91, success:0.00
Epoch: 510 Reward: -9684.190 Time consuming: 45
Epoch: 520 Reward: -9447.252 Time consuming: 38
Epoch: 530 Reward: -9448.433 Time consuming: 38
Epoch: 540 Reward: -9382.492 Time consuming: 39
Epoch: 550 Reward: -9532.659 Time consuming: 38
Epoch: 560 Reward: -9810.040 Time consuming: 39
Epoch: 570 Reward: -9285.937 Time consuming: 39
Epoch: 580 Reward: -9342.605 Time consuming: 39
Epoch: 590 Reward: -9511.141 Time consuming: 39
Epoch: 600 Reward: -9314.517 Time consuming: 39
Epoch: 610 Reward: -9406.226 Time consuming: 38
Epoch: 620 Reward: -9488.500 Time consuming: 39
Epoch: 630 Reward: -9399.450 Time consuming: 38
Epoch: 640 Reward: -9413.588 Time consuming: 39
Epoch: 650 Reward: -9545.897 Time consuming: 39
Epoch: 660 Reward: -9512.555 Time consuming: 38
Epoch: 670 Reward: -9604.926 Time consuming: 39
Epoch: 680 Reward: -9543.256 Time consuming: 39
Epoch: 690 Reward: -9275.459 Time consuming: 38
Epoch: 700 Reward: -9626.805 Time consuming: 38
Epoch: 710 Reward: -9225.346 Time consuming: 39
Epoch: 720 Reward: -9336.719 Time consuming: 39
Epoch: 730 Reward: -9887.129 Time consuming: 39
Epoch: 740 Reward: -9332.197 Time consuming: 38
Epoch: 750 Reward: -9422.146 Time consuming: 38
Goal, Curr: (0.00, 19.00, -0.48, 0.50)     Error:18.51
